race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Lewis Hamilton,44,British,Mercedes,1,48,+22.729,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Daniel Ricciardo,3,Australian,Renault,6,53,+14.613,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Max Verstappen,33,Dutch,Red Bull,3,62,+34.508,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Daniel Ricciardo,3,Australian,Renault,5,62,+14.320,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Sebastian Vettel,5,German,Ferrari,11,53,+31.960,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Alexander Albon,23,Thai,Red Bull,4,41,+8.005,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Lance Stroll,18,Canadian,Racing Point,10,85,+11.869,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Lewis Hamilton,44,British,Mercedes,3,37,+18.415,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Valtteri Bottas,77,Finnish,Mercedes,6,69,+51.043,13.0,4,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Sebastian Vettel,5,German,Ferrari,2,36,+26.422,13.0,4,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Charles Leclerc,16,Monegasque,Ferrari,1,53,+6.368,13.0,4,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Charles Leclerc,16,Monegasque,Ferrari,4,44,+52.239,13.0,4,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Daniel Ricciardo,3,Australian,Renault,4,44,+18.877,13.0,4,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Sebastian Vettel,5,German,Ferrari,3,16,+57.109,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Max Verstappen,33,Dutch,Red Bull,5,47,+6.408,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Max Verstappen,33,Dutch,Red Bull,5,45,+27.627,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Max Verstappen,33,Dutch,Red Bull,4,39,+17.493,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Sebastian Vettel,5,German,Ferrari,3,64,+9.167,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Max Verstappen,33,Dutch,Red Bull,3,9,+5.537,12.0,4,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Max Verstappen,33,Dutch,Red Bull,4,38,+34.905,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Sebastian Vettel,5,German,Ferrari,9,62,+19.610,12.0,4,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Pierre Gasly,10,French,Red Bull,5,48,+34.692,12.0,4,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Lance Stroll,18,Canadian,Racing Point,15,61,+8.966,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Charles Leclerc,16,Monegasque,Ferrari,4,49,+1:05.250,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Daniel Ricciardo,3,Australian,Renault,5,53,+45.515,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Lewis Hamilton,44,British,Mercedes,2,58,+4.608,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Max Verstappen,33,Dutch,Red Bull,9,47,+14.210,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Alexander Albon,23,Thai,Red Bull,6,36,+59.537,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Kimi Räikkönen,7,Finnish,Alfa Romeo,8,65,+9.452,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Valtteri Bottas,77,Finnish,Mercedes,20,31,+44.379,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Lewis Hamilton,44,British,Mercedes,5,67,+5.689,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Alexander Albon,23,Thai,Red Bull,6,67,+44.400,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Lance Stroll,18,Canadian,Racing Point,3,68,+57.579,12.0,4,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Daniel Ricciardo,3,Australian,Renault,8,49,+19.650,12.0,4,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Charles Leclerc,16,Monegasque,Ferrari,8,39,+29.289,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Lance Stroll,18,Canadian,Racing Point,5,56,\N,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Lando Norris,4,British,McLaren,6,50,+6.000,12.0,4,2024-07-12T11:40:19.668-07:00
